Date,Open,High,Low,Close,Volume
11/20/2012,333.5,337.73,331.04,668.14,"41,92,900"
11/21/2012,333.25,333.65,328.97,664.05,"42,40,200"
11/23/2012,333.73,333.75,331.81,666.14,"18,51,800"
11/26/2012,331.98,332.25,328.28,659.34,"44,25,700"
11/27/2012,328.85,336.24,327.77,668.87,"50,36,100"
11/28/2012,332.76,341.18,330.71,681.8,"61,06,700"
11/29/2012,342.61,345.65,339.73,690,"55,73,700"
11/30/2012,344.36,348.3,341.56,696.46,"63,50,800"
12-03-2012,349.81,351.63,345.76,693.35,"44,01,300"
12-04-2012,346.2,346.46,341.57,689.14,"39,98,200"
12-05-2012,344.78,345.95,339.89,685.94,"37,38,700"
12-06-2012,342.51,346.51,340.98,689.24,"29,35,500"
12-07-2012,346.2,347.14,339.94,682.34,"38,52,900"
12-10-2012,341.42,344.53,340.62,683.54,"27,43,600"
12-11-2012,343.71,349.65,342.58,694.97,"53,95,200"
12-12-2012,348.31,350.44,345.45,695.65,"48,70,100"
12/13/2012,356.62,356.9,348.47,700.78,"69,15,500"
12/14/2012,348.28,352.59,347.91,700.04,"42,76,100"
12/17/2012,351.43,359.61,350.7,718.81,"60,93,400"
12/18/2012,356.96,363.19,356.19,719.1,"60,32,300"
12/19/2012,359.01,360.15,357,718.14,"38,51,500"
12/20/2012,360.28,360.97,357.15,720.38,"33,26,400"
12/21/2012,355.65,358.07,353.93,713.67,"70,78,300"
12/24/2012,355.92,356.25,352.41,707.56,"16,88,000"
12/26/2012,352.71,355.11,349.89,706.93,"23,73,500"
12/27/2012,352.25,353.1,348,704.36,"33,07,000"
12/28/2012,349.53,352.14,348.7,698.09,"28,14,500"
12/31/2012,348.69,353.96,346.7,705.44,"40,09,600"
01-02-2013,358.37,362.14,356.94,721.27,"51,01,500"
01-03-2013,361.11,364.6,359.01,721.69,"46,53,700"
01-04-2013,363.31,369.35,362.48,735.95,"55,47,600"
01-07-2013,366.35,368.31,363.93,732.74,"33,23,800"
01-08-2013,366.4,366.78,360.86,731.29,"33,64,700"
01-09-2013,364.77,367.8,362.94,736.1,"40,64,500"
01-10-2013,370.03,371.11,365.38,739.45,"36,85,000"
01-11-2013,369.61,369.83,366.78,737.96,"25,79,900"
1/14/2013,367.12,369.71,359.83,721.27,"57,49,200"
1/15/2013,358.32,366.13,354.72,722.95,"78,84,700"
1/16/2013,359.85,360.82,355.5,713.23,"40,61,900"
1/17/2013,357.51,358.48,354.18,709.37,"44,39,500"
1/18/2013,353.85,355.05,349.36,702.58,"64,77,700"
1/22/2013,351.01,351.35,346.46,700.95,"76,13,100"
1/23/2013,366.62,373.1,366.52,739.47,"1,18,62,400"
1/24/2013,369.24,377,368.87,752.15,"67,90,600"
1/25/2013,373.98,377.82,373.72,751.61,"44,68,400"
1/28/2013,374.48,376.39,372.55,748.67,"32,66,300"
1/29/2013,371.98,377.06,371.88,751.62,"35,07,200"
1/30/2013,375.46,379.05,375.05,751.77,"34,78,900"
1/31/2013,373.85,377.4,373.72,753.62,"32,80,500"
02-01-2013,377.68,386.85,377.63,773.48,"75,20,100"
02-04-2013,382.41,383.8,377.72,756.94,"61,03,700"
02-05-2013,379.14,384.12,378.32,763.64,"37,55,300"
02-06-2013,378.12,385.04,377.83,768.06,"41,71,700"
02-07-2013,383.41,387.95,381.32,771.83,"57,01,600"
02-08-2013,388.61,391.87,388.32,783.22,"60,62,700"
02-11-2013,387.75,390.04,385.43,780.28,"43,51,800"
02-12-2013,389.42,392.48,388.23,778.56,"37,31,900"
2/13/2013,388.61,391.21,388.53,780.72,"24,05,200"
2/14/2013,388.41,392.9,387.43,785.66,"34,83,500"
2/15/2013,392.23,395.15,392.07,790.72,"54,80,000"
2/19/2013,396.51,401.99,396.16,804.64,"58,85,500"
2/20/2013,401.15,402.97,394.42,790.29,"55,49,000"
2/21/2013,397.51,401.22,394.13,793.35,"70,39,000"
2/22/2013,398.14,399.13,395.42,797.52,"41,23,100"
2/25/2013,399.65,402.7,393.77,788.6,"46,25,000"
2/26/2013,396.02,396.49,390.74,787.97,"44,21,500"
2/27/2013,395.92,400.87,394.08,797.59,"40,67,300"
2/28/2013,399.05,401.99,399.02,799.01,"45,48,500"
03-01-2013,397.41,402.06,396.59,803.98,"43,67,000"
03-04-2013,401.15,409.88,401,819.25,"55,71,900"
03-05-2013,412.92,418.51,412.9,836.3,"81,18,400"
03-06-2013,418.94,420.42,412.86,829.1,"57,67,400"
03-07-2013,415.47,416.75,413.24,830.32,"41,20,700"
03-08-2013,415.69,415.9,410.98,829.24,"58,45,600"
03-11-2013,414.29,418.28,414.2,832.53,"32,01,200"
03-12-2013,413.8,414.39,410.3,825.34,"40,31,600"
3/13/2013,412.4,413.79,409.62,823.05,"32,94,800"
3/14/2013,411.95,411.95,407.17,819.29,"33,14,700"
3/15/2013,407.72,408.62,405.15,812.07,"62,22,500"
3/18/2013,401,404.86,399.24,805.58,"36,90,300"
3/19/2013,404.11,408.1,401.72,809.1,"42,12,000"
3/20/2013,406.89,407.23,404.2,812.48,"29,38,500"
3/21/2013,404.13,406.93,403.41,809.04,"29,66,200"
3/22/2013,405.85,406.1,403.31,808.09,"29,87,400"
3/25/2013,404.69,408.09,401.9,807.42,"34,36,800"
3/26/2013,405.23,405.48,402.39,810.2,"23,92,600"
3/27/2013,401.83,401.99,399.17,800.46,"43,42,500"
3/28/2013,400.49,401.18,395.17,792.02,"45,92,600"
04-01-2013,396.02,399.63,395.14,799,"36,28,100"
04-02-2013,400.77,405.89,400.5,810.81,"40,98,200"
04-03-2013,405.21,405.58,398.84,803.99,"34,89,900"
04-04-2013,400.62,401.37,394.17,792.89,"49,13,400"
04-05-2013,391.56,392.03,386.75,780.91,"68,93,400"
04-08-2013,387.92,388.32,382.77,772.73,"56,85,300"
04-09-2013,386.3,390.41,385.11,775.52,"43,30,700"
04-10-2013,390,394.7,386.55,788.02,"39,71,900"
04-11-2013,394.96,395.07,390.57,788.23,"40,72,500"
04-12-2013,394.52,394.57,390,787.89,"32,85,500"
4/15/2013,391.51,397.01,387.06,779.79,"49,24,500"
4/16/2013,391.83,396.51,390.5,791.2,"34,96,900"
4/17/2013,391.91,393.94,387.6,780.42,"40,89,100"
4/18/2013,391.21,391.43,379.21,763.81,"66,69,800"
4/19/2013,383.14,400.22,381.7,797.68,"1,16,49,800"
4/22/2013,398.81,400.48,386.05,797.92,"57,88,300"
4/23/2013,399,406.23,398.69,805.69,"46,01,600"
4/24/2013,402.55,407.47,402.49,811.22,"36,71,800"
4/25/2013,406.6,406.71,402.31,806.88,"39,99,200"
4/26/2013,402.29,402.36,396.8,799.23,"49,93,900"
4/29/2013,400.13,409.81,400,816.82,"46,18,800"
4/30/2013,407.97,412.27,407.31,822.31,"46,30,600"
05-01-2013,410.09,410.82,406.66,818.18,"29,20,800"
05-02-2013,408.52,415.72,408,827.34,"40,51,600"
05-03-2013,416.92,421.82,416.44,843.4,"50,44,000"
05-06-2013,422.55,429.32,422.55,859.19,"42,98,500"
05-07-2013,429.89,430.32,423.75,854.88,"39,32,600"
05-08-2013,426.9,435.31,424.86,871.24,"49,55,000"
05-09-2013,433.79,438.19,432.49,869.09,"44,17,600"
05-10-2013,436.02,438.63,434.45,877.82,"38,09,500"
5/13/2013,437.8,439.59,435.06,875.13,"29,07,700"
5/14/2013,437.11,442.69,436.93,884.67,"31,70,300"
5/15/2013,446.08,456.48,445.34,913.38,"80,01,600"
5/16/2013,457.78,458.27,449.32,901.4,"64,43,200"
5/17/2013,453.31,455.04,448.58,906.69,"56,04,800"
5/20/2013,450.81,458.58,450.81,906.04,"45,62,300"
5/21/2013,452.31,454.13,447.13,904.49,"39,80,700"
5/22/2013,449.59,452.96,441.78,886.98,"51,40,300"
5/23/2013,436.86,443.32,435.37,880.37,"45,67,200"
5/24/2013,436,437.77,433.88,870.93,"46,10,700"
5/28/2013,440.1,444.4,438.56,878.86,"45,31,900"
5/29/2013,436.22,437.36,430.53,865.93,"40,41,800"
5/30/2013,433.34,437.81,431.59,868.38,"42,57,200"
5/31/2013,432.44,436.86,432.14,868.83,"39,53,500"
06-03-2013,434.87,435.35,425.91,865.25,"49,69,900"
06-04-2013,432.3,433.67,425.44,856.75,"37,51,100"
06-05-2013,429.64,433.1,426.96,857.35,"42,29,300"
06-06-2013,430.54,431.55,422.03,862.27,"51,77,400"
06-07-2013,433.58,438.36,431.04,877.32,"53,69,200"
06-10-2013,439.4,443.84,438.4,887.78,"46,93,000"
06-11-2013,440.33,441.84,438.12,877.4,"35,28,300"
06-12-2013,441.08,441.35,433.2,869.59,"44,26,100"
6/13/2013,432.87,438.19,431.13,874.6,"41,55,200"
6/14/2013,438.41,440.7,435.43,872.64,"45,06,700"
6/17/2013,437.97,443.05,437.5,883.82,"43,08,500"
6/18/2013,442.67,448.82,442.52,898.15,"43,50,000"
6/19/2013,449,453.72,447.07,898.21,"58,53,600"
6/20/2013,445.33,448.82,440.01,882.32,"67,69,200"
6/21/2013,442.51,443.28,434.9,878.52,"79,94,300"
6/24/2013,434.31,436.52,430.01,867.41,"60,56,300"
6/25/2013,436.99,438.2,430.64,863.83,"51,25,500"
6/26/2013,435.24,437.36,433.66,871.26,"36,76,400"
6/27/2013,437.76,440.69,436.69,874.67,"38,67,300"
6/28/2013,435.82,439.27,435.46,877.96,"47,16,100"
07-01-2013,441.57,444.37,440.85,885.45,"34,62,400"
07-02-2013,443.44,443.84,437,879.89,"37,97,000"
07-03-2013,438.31,442.92,437.61,884,"21,01,700"
07-05-2013,443.34,446.03,442.01,891.04,"34,16,500"
07-08-2013,447.93,451.44,446.87,902.61,"39,53,700"
07-09-2013,453.8,454.77,447.31,902.76,"39,73,500"
07-10-2013,450.04,453.87,448.51,903.51,"34,29,500"
07-11-2013,454.8,458.69,452.56,917.72,"51,87,700"
07-12-2013,458.28,459.78,455.91,920.47,"51,55,600"
7/15/2013,460.42,462.27,456.47,922.16,"39,35,600"
7/16/2013,461.83,462.25,455.24,917.09,"39,80,700"
7/17/2013,458.78,461.7,456.44,916.04,"30,23,400"
7/18/2013,457.78,458.28,449.91,908.19,"72,96,100"
7/19/2013,441.65,449.79,436.17,894.15,"1,47,73,700"
7/22/2013,449.32,454.63,446.83,908.21,"58,28,100"
7/23/2013,453.65,454.8,448.11,901.33,"41,06,600"
7/24/2013,451.94,453.45,448.67,900.43,"41,72,500"
7/25/2013,445.27,446.75,441.39,885.27,"60,24,600"
7/26/2013,441.84,443.33,439.35,882.93,"35,68,600"
7/29/2013,440.8,445.74,438.8,879.85,"37,97,800"
7/30/2013,441.08,446.13,438.79,888.48,"35,24,300"
7/31/2013,444.83,446.58,441.44,885.32,"43,63,200"
08-01-2013,445.83,450.59,445.83,901.74,"42,92,700"
08-02-2013,450.03,451.81,448.73,904.09,"34,40,600"
08-05-2013,451,451.07,447.92,902.52,"26,29,100"
08-06-2013,450.66,453.16,446.19,894.12,"30,23,400"
08-07-2013,445.85,447.55,442.88,888.21,"27,68,600"
08-08-2013,446.07,446.25,440.99,890.22,"29,87,000"
08-09-2013,443.62,446.09,443.34,887.97,"26,57,200"
08-12-2013,441.79,441.84,439.18,883.09,"27,64,200"
8/13/2013,441.76,442.59,436.46,878.84,"28,50,200"
8/14/2013,437.54,438.47,431.96,867.43,"41,79,900"
8/15/2013,430.61,430.85,427.4,857.31,"37,52,300"
8/16/2013,429.03,429.61,426.67,854.56,"33,62,700"
8/19/2013,427.25,434.37,427.12,863.28,"36,35,300"
8/20/2013,432.55,434.43,430.16,863.05,"24,75,100"
8/21/2013,433.7,436.82,431.63,866.95,"35,27,700"
8/22/2013,434.72,435.74,433.5,871.32,"17,46,200"
8/23/2013,437.28,437.36,433.25,867.83,"21,62,200"
8/26/2013,433.38,435.82,431.41,864.02,"21,12,800"
8/27/2013,428.2,430.25,422.37,847.82,"34,81,100"
8/28/2013,423.54,426.11,422.3,846.23,"26,69,700"
8/29/2013,422.95,428.58,422.71,853.09,"29,68,000"
8/30/2013,426.28,427.42,421.2,844.58,"37,37,100"
09-03-2013,425.58,431.48,425.38,858.02,"41,10,400"
09-04-2013,428.57,435.12,425.99,869.24,"40,97,600"
09-05-2013,435.12,438.3,434.18,877.15,"25,92,100"
09-06-2013,439.57,440.24,435.24,877.17,"31,34,800"
09-09-2013,440.21,443.21,439.56,885.62,"24,78,300"
09-10-2013,443.35,444.33,440.35,886.24,"25,84,700"
09-11-2013,442.61,446.81,441.39,893.74,"32,33,200"
09-12-2013,447.02,447.27,443.34,890.61,"21,99,100"
9/13/2013,445.58,446.17,440.77,886.64,"26,60,600"
9/16/2013,446.43,446.83,440.78,885.33,"26,82,900"
9/17/2013,442.05,442.54,438.86,883.68,"25,28,200"
9/18/2013,441.52,450.3,439.89,900.85,"38,83,800"
9/19/2013,451.3,451.3,446.03,895.93,"32,07,600"
9/20/2013,447.52,450.38,446.14,900.64,"87,23,000"
9/23/2013,446.4,449.11,440.95,884.07,"35,68,000"
9/24/2013,441.59,443.39,439.05,884.41,"29,84,600"
9/25/2013,441.62,441.62,436.17,874.83,"33,10,200"
9/26/2013,437.51,439.73,435.87,875.77,"25,29,200"
9/27/2013,435.78,437.12,434.03,873.99,"25,27,000"
9/30/2013,432.92,438.78,432.53,873.51,"34,57,600"
10-01-2013,438.48,442.18,438.38,884.57,"33,82,100"
10-02-2013,439.72,443.02,437.27,885.56,"30,01,700"
10-03-2013,442.34,445.38,434.42,873.69,"42,49,800"
10-04-2013,435.87,437.12,433.38,869.96,"27,26,100"
10-07-2013,432.11,435.36,430.44,863.37,"25,96,800"
10-08-2013,431.04,431.37,424.22,851.33,"39,01,800"
10-09-2013,426.54,429.71,419.92,853.52,"53,22,400"
10-10-2013,430.31,432.79,428.5,865.86,"45,27,400"
10-11-2013,431.4,435.11,431.03,869.6,"28,28,300"
10/14/2013,431.71,436.49,431.08,873.71,"24,96,400"
10/15/2013,436.24,441.16,435.37,879.6,"31,95,600"
10/16/2013,441.28,447.49,440.35,895.57,"40,30,200"
10/17/2013,444.83,446.78,441.21,886.36,"85,45,000"
