Id,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CommunicationSkill,Behaviour
31,32,0,Travel_Rarely,Research & Development,5,4,Other,1607,2,Female,4,Research Scientist,4,Married,3312,3,No,17,3,2,6,3,3,2,0,2,4,1
32,40,0,Travel_Rarely,Research & Development,2,1,Medical,1375,2,Female,4,Healthcare Representative,3,Divorced,6377,5,No,20,4,3,15,0,12,11,11,8,4,1
33,26,0,Travel_Frequently,Research & Development,6,3,Other,1918,3,Male,4,Laboratory Technician,4,Married,2544,0,No,18,3,1,8,3,7,7,7,7,4,1
34,37,0,Travel_Rarely,Sales,3,3,Life Sciences,152,3,Male,3,Sales Executive,4,Single,7428,2,No,12,3,0,12,3,5,3,1,3,2,1
35,44,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1703,3,Female,4,Healthcare Representative,4,Married,7879,1,Yes,19,3,1,9,2,8,7,6,7,5,1
36,54,0,Travel_Rarely,Research & Development,7,4,Medical,1830,4,Female,3,Research Scientist,4,Married,6854,4,No,15,3,1,14,2,7,1,1,7,3,1
37,35,0,Travel_Rarely,Research & Development,10,4,Medical,1587,1,Female,3,Healthcare Representative,3,Single,6142,3,Yes,16,3,0,10,4,5,2,0,4,2,1
38,23,0,Travel_Rarely,Research & Development,10,3,Technical Degree,1592,4,Male,4,Research Scientist,3,Married,2073,2,No,16,3,1,4,2,2,2,2,2,5,1
39,50,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1030,1,Male,3,Laboratory Technician,4,Married,2380,4,No,18,3,0,8,5,1,0,0,0,2,1
40,31,1,Travel_Frequently,Sales,26,4,Marketing,1967,1,Male,3,Sales Executive,4,Married,5617,1,Yes,11,3,0,10,4,10,7,0,8,3,1
41,46,0,Travel_Rarely,Sales,10,3,Marketing,580,3,Female,2,Sales Executive,4,Married,9071,2,Yes,19,3,1,15,3,3,2,1,2,4,1
42,42,0,Non-Travel,Research & Development,21,2,Medical,270,3,Female,3,Manufacturing Director,3,Divorced,5265,2,No,16,3,1,11,5,5,3,0,2,5,1
43,36,0,Travel_Rarely,Research & Development,5,2,Life Sciences,304,4,Male,3,Laboratory Technician,2,Single,5914,8,No,16,3,0,16,3,13,11,3,7,1,1
44,50,0,Travel_Rarely,Research & Development,7,2,Medical,80,2,Female,2,Research Director,3,Divorced,18740,5,Yes,12,3,1,29,2,27,3,13,8,1,1
45,29,0,Travel_Rarely,Human Resources,6,1,Medical,1865,4,Male,2,Human Resources,2,Married,2804,1,No,11,3,0,1,3,1,0,0,0,3,1
46,35,1,Travel_Rarely,Research & Development,2,3,Life Sciences,1569,1,Female,3,Laboratory Technician,1,Divorced,2074,1,Yes,12,3,1,1,2,1,0,0,0,2,1
47,38,0,Travel_Frequently,Research & Development,3,4,Other,1060,3,Male,3,Research Scientist,3,Married,2821,3,No,16,3,1,8,2,2,2,2,2,4,1
48,38,0,Travel_Rarely,Research & Development,2,5,Medical,773,4,Male,3,Research Scientist,3,Married,3057,6,Yes,13,3,1,6,0,1,0,0,1,4,1
49,31,0,Travel_Rarely,Research & Development,1,2,Life Sciences,530,4,Male,2,Laboratory Technician,1,Married,2218,1,No,12,3,1,4,3,4,2,3,2,3,1
50,50,0,Travel_Frequently,Research & Development,2,3,Medical,1215,4,Female,3,Manager,1,Married,17856,2,No,22,4,1,32,3,2,2,2,2,3,1
51,43,0,Travel_Rarely,Human Resources,2,3,Life Sciences,1778,2,Male,3,Human Resources,4,Single,3539,0,No,13,3,0,10,5,9,7,1,8,4,1
52,23,0,Travel_Rarely,Sales,2,1,Technical Degree,113,3,Male,3,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,0,0,0,0,2,1
53,35,1,Travel_Rarely,Research & Development,14,4,Other,1010,3,Male,2,Laboratory Technician,2,Divorced,3743,1,Yes,24,4,1,5,2,4,2,0,2,2,1
54,28,0,Travel_Frequently,Research & Development,2,3,Life Sciences,1296,4,Male,2,Laboratory Technician,4,Married,3867,1,Yes,12,3,1,2,2,2,2,2,2,2,1
55,41,1,Travel_Frequently,Sales,4,3,Marketing,488,1,Male,3,Sales Executive,2,Single,9355,1,No,18,3,0,8,5,8,7,7,7,3,1
56,45,0,Travel_Rarely,Human Resources,24,4,Medical,1049,2,Male,3,Human Resources,2,Single,2177,1,No,16,3,0,6,3,6,3,0,4,3,1
57,37,0,Travel_Rarely,Research & Development,10,3,Life Sciences,2017,3,Female,4,Research Director,4,Married,13744,1,Yes,25,4,1,16,2,16,11,6,8,3,1
58,25,1,Travel_Rarely,Research & Development,3,3,Medical,538,1,Male,3,Laboratory Technician,1,Married,4031,5,No,13,3,1,6,5,2,2,0,2,3,1
59,33,0,Non-Travel,Research & Development,1,2,Medical,1994,2,Male,2,Laboratory Technician,3,Divorced,2008,1,No,12,3,3,1,2,1,1,0,0,4,1
60,36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,Research Scientist,1,Married,3419,9,Yes,14,3,1,6,3,1,1,0,0,4,1
61,33,0,Travel_Rarely,Sales,2,4,Medical,1670,4,Male,3,Sales Executive,4,Divorced,5505,1,No,14,3,2,6,5,6,2,0,4,2,1
62,54,0,Travel_Frequently,Research & Development,20,4,Life Sciences,450,4,Female,3,Research Scientist,3,Single,4869,3,No,12,3,0,20,4,4,3,0,3,4,1
63,34,0,Travel_Rarely,Research & Development,29,3,Medical,1377,2,Male,3,Laboratory Technician,3,Married,5429,4,No,13,3,2,10,1,8,7,7,7,5,1
64,34,0,Travel_Frequently,Research & Development,15,3,Medical,1485,2,Male,3,Research Director,1,Divorced,17007,7,No,14,3,2,16,3,14,8,6,9,4,1
65,42,0,Travel_Rarely,Human Resources,2,1,Technical Degree,470,3,Male,3,Human Resources,3,Divorced,2696,0,Yes,11,3,1,4,5,3,2,1,0,1,1
66,32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1555,4,Female,2,Research Scientist,2,Married,5878,3,No,12,3,1,12,2,7,1,2,5,4,1
67,41,0,Travel_Frequently,Research & Development,22,3,Life Sciences,1392,4,Female,3,Research Scientist,4,Divorced,5467,3,Yes,14,3,2,12,4,6,2,3,3,4,1
68,32,0,Non-Travel,Research & Development,1,4,Technical Degree,1574,4,Male,3,Research Scientist,1,Married,4087,4,No,14,3,1,9,3,6,5,1,2,2,1
69,34,0,Travel_Rarely,Research & Development,27,2,Medical,247,4,Female,3,Research Scientist,2,Single,2311,2,No,15,3,0,9,3,3,2,1,2,3,1
70,31,1,Travel_Frequently,Research & Development,15,3,Medical,1160,3,Male,3,Laboratory Technician,3,Married,2610,1,No,12,3,1,2,5,2,2,2,2,1,1
71,38,0,Travel_Rarely,Sales,7,2,Medical,382,1,Female,4,Sales Executive,1,Divorced,5605,1,Yes,24,4,1,8,3,8,0,7,7,5,1
72,35,0,Travel_Rarely,Research & Development,9,4,Medical,2008,2,Male,3,Research Scientist,3,Single,5098,1,No,19,3,0,10,5,10,7,0,8,2,1
73,47,0,Travel_Frequently,Research & Development,16,4,Medical,987,3,Male,4,Manufacturing Director,3,Divorced,5067,1,Yes,19,3,0,20,3,19,10,2,7,3,1
74,32,0,Travel_Rarely,Research & Development,29,4,Life Sciences,2010,3,Female,2,Laboratory Technician,2,Single,2837,1,No,13,3,0,6,3,6,2,4,1,2,1
75,28,0,Travel_Rarely,Research & Development,1,3,Technical Degree,1301,4,Male,3,Research Scientist,1,Single,2080,2,No,11,3,0,5,2,3,2,1,2,4,1
76,30,0,Travel_Rarely,Sales,27,5,Marketing,747,3,Male,3,Sales Executive,4,Divorced,5304,7,No,23,4,1,10,2,8,7,7,7,3,1
77,51,0,Travel_Rarely,Sales,26,4,Marketing,851,1,Female,3,Manager,3,Married,16307,2,No,14,3,1,29,2,20,6,4,17,3,1
78,36,0,Travel_Rarely,Sales,10,4,Technical Degree,1880,2,Female,2,Sales Executive,3,Married,5673,1,Yes,13,3,1,10,4,10,9,1,7,2,1
79,48,0,Travel_Rarely,Sales,16,4,Life Sciences,1557,3,Female,3,Sales Executive,3,Divorced,6439,8,No,14,3,1,18,2,8,7,7,7,5,1
80,30,0,Travel_Rarely,Research & Development,2,1,Medical,198,2,Male,2,Laboratory Technician,4,Single,2720,0,No,13,3,0,6,3,5,3,1,2,4,1
81,33,0,Travel_Rarely,Research & Development,1,5,Medical,612,1,Female,4,Research Director,3,Divorced,16184,4,No,19,3,1,10,2,6,1,0,5,1,1
82,29,0,Travel_Frequently,Sales,1,1,Medical,312,2,Female,3,Sales Executive,4,Married,7918,1,No,14,3,1,11,5,11,10,4,1,5,1
83,49,0,Travel_Rarely,Research & Development,3,2,Medical,1509,3,Female,2,Laboratory Technician,1,Married,4789,4,No,25,4,1,10,3,3,2,1,2,5,1
84,34,0,Travel_Rarely,Sales,2,3,Other,786,4,Male,3,Sales Executive,4,Single,6274,1,No,22,4,0,6,5,6,5,1,4,3,1
85,40,0,Travel_Rarely,Sales,14,2,Life Sciences,1598,4,Female,3,Sales Executive,1,Married,4639,1,No,15,3,1,5,2,5,4,1,2,3,1
86,37,0,Non-Travel,Sales,9,4,Medical,626,1,Male,3,Sales Executive,2,Divorced,8834,1,No,13,3,1,9,6,9,5,7,7,1,1
87,38,0,Travel_Frequently,Research & Development,12,3,Life Sciences,837,1,Male,2,Healthcare Representative,1,Divorced,6288,2,No,15,3,1,13,3,4,3,1,2,2,1
88,33,0,Travel_Rarely,Research & Development,8,5,Life Sciences,1515,4,Male,3,Healthcare Representative,3,Single,6388,2,Yes,17,3,0,14,6,0,0,0,0,4,1
89,50,1,Travel_Frequently,Sales,8,2,Technical Degree,723,2,Male,3,Sales Executive,3,Married,6796,3,Yes,14,3,1,18,4,4,3,1,3,2,1
90,28,0,Travel_Rarely,Research & Development,15,2,Life Sciences,1102,1,Male,3,Laboratory Technician,3,Divorced,2207,1,No,16,3,1,4,5,4,2,2,2,1,1
91,48,0,Travel_Rarely,Research & Development,10,3,Life Sciences,1867,4,Male,2,Research Director,2,Married,19665,4,No,12,3,0,29,3,22,10,12,9,4,1
92,33,1,Travel_Rarely,Sales,5,3,Marketing,485,4,Female,3,Sales Representative,3,Single,2851,1,Yes,13,3,0,1,2,1,0,0,0,1,1
93,40,1,Travel_Rarely,Sales,25,4,Marketing,1318,4,Male,2,Sales Executive,2,Single,9094,2,Yes,12,3,0,9,2,5,4,1,0,2,1
94,27,0,Travel_Rarely,Research & Development,16,4,Technical Degree,1001,3,Female,3,Laboratory Technician,2,Married,2811,9,No,14,3,1,4,2,2,2,2,2,2,1
95,34,0,Travel_Rarely,Sales,4,3,Life Sciences,1882,3,Male,3,Sales Executive,4,Married,9713,2,Yes,13,3,3,9,3,5,3,1,0,2,1
96,32,0,Non-Travel,Research & Development,15,4,Medical,1955,3,Female,3,Healthcare Representative,4,Divorced,6667,5,No,18,3,1,9,6,5,1,1,2,1,1
97,29,1,Travel_Rarely,Research & Development,10,3,Life Sciences,994,4,Female,2,Research Scientist,1,Single,2404,6,Yes,20,4,0,3,5,0,0,0,0,4,1
98,59,0,Travel_Rarely,Research & Development,3,3,Life Sciences,309,3,Male,2,Research Scientist,4,Married,2177,3,No,17,3,1,7,6,1,0,0,0,3,1
99,49,0,Travel_Rarely,Research & Development,6,1,Life Sciences,1661,3,Female,2,Healthcare Representative,3,Married,13966,2,Yes,19,3,1,30,3,15,11,2,12,3,1
100,35,0,Travel_Rarely,Research & Development,25,4,Medical,1014,3,Female,3,Healthcare Representative,3,Divorced,10388,1,Yes,11,3,1,16,3,16,10,10,1,2,1
101,36,0,Non-Travel,Research & Development,1,4,Medical,1662,4,Female,2,Manufacturing Director,3,Married,4374,0,No,15,3,0,4,6,3,2,1,2,2,1
102,38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,Research Scientist,4,Single,3944,5,Yes,11,3,0,6,3,3,2,1,2,5,1
103,39,0,Travel_Frequently,Research & Development,7,2,Medical,444,3,Male,2,Manager,4,Married,19272,1,No,15,3,1,21,2,21,9,13,3,2,1
104,38,0,Travel_Rarely,Sales,2,2,Marketing,1125,4,Male,3,Sales Executive,2,Single,7351,7,No,16,3,0,10,2,1,0,0,0,2,1
105,58,0,Non-Travel,Sales,2,3,Medical,1824,2,Male,3,Manager,2,Divorced,16291,4,No,22,4,1,37,0,16,9,14,14,3,1
106,30,1,Travel_Rarely,Research & Development,22,3,Life Sciences,1004,1,Female,3,Research Scientist,3,Married,2132,4,Yes,11,3,0,7,2,5,2,0,1,1,1
107,27,0,Travel_Rarely,Research & Development,9,3,Medical,260,4,Female,3,Research Scientist,2,Single,2279,1,No,16,3,0,7,2,7,7,0,3,1,1
108,26,0,Travel_Rarely,Research & Development,6,3,Other,164,3,Female,2,Research Scientist,2,Married,2368,1,No,19,3,0,5,3,5,4,4,3,1,1
109,49,1,Travel_Frequently,Research & Development,28,2,Life Sciences,1420,1,Male,2,Laboratory Technician,1,Single,4284,3,No,20,4,0,20,2,4,3,1,3,5,1
110,36,1,Travel_Rarely,Research & Development,9,3,Medical,90,4,Male,2,Research Scientist,3,Married,3388,0,Yes,17,3,1,2,0,1,0,0,0,2,1
111,42,0,Travel_Rarely,Research & Development,13,3,Medical,1803,2,Male,4,Healthcare Representative,1,Married,5538,5,No,18,3,2,10,2,0,0,0,0,2,1
112,42,0,Travel_Frequently,Research & Development,28,4,Technical Degree,551,4,Female,2,Healthcare Representative,4,Married,4523,0,No,11,3,3,7,4,6,5,0,4,2,1
113,49,0,Travel_Rarely,Research & Development,1,3,Technical Degree,887,3,Female,3,Research Scientist,1,Married,3580,2,No,16,3,1,7,2,4,2,0,2,3,1
114,29,0,Travel_Rarely,Research & Development,7,1,Medical,912,1,Female,2,Laboratory Technician,4,Divorced,2532,6,No,14,3,3,8,5,4,3,0,3,1,1
115,27,0,Travel_Rarely,Sales,2,3,Life Sciences,437,4,Male,3,Sales Executive,3,Single,4478,1,Yes,11,3,0,5,3,5,4,0,4,4,1
116,34,0,Travel_Frequently,Research & Development,19,3,Medical,1285,3,Female,3,Laboratory Technician,2,Divorced,4444,4,No,13,3,2,15,2,11,8,5,10,1,1
117,25,0,Travel_Rarely,Research & Development,19,1,Medical,1358,4,Male,3,Laboratory Technician,4,Married,3669,3,No,11,3,3,7,6,3,2,1,2,3,1
118,44,0,Travel_Rarely,Research & Development,10,4,Other,40,4,Male,3,Healthcare Representative,4,Married,6465,2,Yes,13,3,0,9,5,4,2,1,3,3,1
119,25,1,Travel_Frequently,Sales,24,1,Life Sciences,1273,3,Male,1,Sales Representative,4,Single,1118,1,Yes,14,3,0,1,4,1,0,1,0,3,1
120,45,0,Non-Travel,Research & Development,23,2,Life Sciences,1002,4,Male,3,Laboratory Technician,1,Married,3633,1,Yes,15,3,1,9,2,9,8,0,8,3,1
121,31,1,Travel_Frequently,Sales,2,3,Life Sciences,1379,3,Female,2,Sales Representative,4,Single,2785,7,No,14,3,0,3,3,1,0,0,0,5,1
122,34,0,Travel_Rarely,Research & Development,6,4,Other,138,1,Female,3,Research Scientist,3,Single,4809,1,No,14,3,0,16,3,16,13,2,10,4,1
123,30,0,Non-Travel,Sales,25,2,Technical Degree,475,4,Female,3,Sales Executive,3,Married,4736,7,Yes,12,3,1,4,2,2,2,2,2,1,1
124,53,0,Travel_Rarely,Research & Development,23,4,Life Sciences,901,4,Female,3,Research Director,4,Single,14275,6,No,18,3,0,33,0,12,9,3,8,3,1
125,35,0,Non-Travel,Research & Development,2,2,Medical,1804,2,Male,3,Manufacturing Director,4,Divorced,5762,2,No,14,3,1,15,6,7,7,1,7,2,1
126,28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,65,3,Male,3,Laboratory Technician,3,Single,3441,1,Yes,13,3,0,2,3,2,2,2,2,4,1
127,34,0,Travel_Rarely,Research & Development,2,4,Life Sciences,579,4,Male,2,Research Scientist,3,Divorced,2768,3,No,12,3,1,14,3,7,3,5,7,2,1
128,58,0,Travel_Rarely,Research & Development,9,3,Medical,214,2,Female,2,Research Scientist,2,Married,3346,4,Yes,20,4,1,9,3,1,0,0,0,2,1
129,30,0,Non-Travel,Research & Development,9,2,Medical,1298,3,Female,3,Manufacturing Director,3,Single,4695,7,Yes,18,3,0,10,3,8,4,1,7,1,1
130,42,1,Travel_Frequently,Research & Development,19,3,Medical,752,3,Male,4,Research Scientist,3,Divorced,2759,6,Yes,12,3,0,7,2,2,2,2,2,3,1
131,28,0,Travel_Rarely,Research & Development,16,2,Medical,412,2,Male,4,Healthcare Representative,1,Single,5661,0,No,19,3,0,9,2,8,3,0,7,3,1
132,55,0,Travel_Rarely,Research & Development,2,3,Life Sciences,505,3,Female,3,Manager,4,Single,16659,2,Yes,13,3,0,30,2,5,4,1,2,1,1
133,26,0,Travel_Frequently,Research & Development,1,1,Medical,1068,1,Female,2,Research Scientist,3,Divorced,2007,1,No,13,3,2,5,5,5,3,1,3,1,1
134,46,0,Travel_Rarely,Sales,1,4,Life Sciences,1602,4,Male,4,Manager,1,Single,17567,1,No,15,3,0,27,5,26,0,0,12,3,1
135,32,0,Travel_Rarely,Sales,4,2,Life Sciences,330,3,Female,3,Sales Representative,2,Married,3931,2,No,11,3,1,6,5,4,3,1,2,4,1
136,40,0,Travel_Rarely,Sales,2,2,Marketing,1986,2,Female,3,Sales Executive,2,Married,5677,3,No,14,3,1,15,4,11,8,5,10,2,1
137,41,0,Non-Travel,Sales,10,2,Life Sciences,599,4,Male,3,Sales Executive,4,Single,6230,7,No,14,3,0,16,3,14,3,1,10,5,1
138,34,0,Travel_Rarely,Research & Development,1,2,Medical,110,1,Male,3,Manufacturing Director,2,Married,4325,1,No,15,3,0,5,2,5,2,1,3,5,1
139,31,0,Travel_Rarely,Research & Development,9,1,Life Sciences,581,3,Male,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,1,13,6,13,8,0,8,2,1
140,50,0,Travel_Rarely,Research & Development,24,3,Life Sciences,1005,4,Male,3,Manufacturing Director,3,Married,13973,3,Yes,18,3,1,22,2,12,11,1,5,5,1
141,49,0,Travel_Rarely,Sales,8,4,Technical Degree,1138,4,Male,2,Sales Executive,2,Married,13120,6,No,17,3,1,22,3,9,8,2,3,3,1
142,57,0,Travel_Rarely,Sales,29,3,Marketing,568,1,Male,2,Manager,4,Divorced,14118,3,No,12,3,1,32,3,1,0,0,0,4,1
143,52,0,Travel_Rarely,Research & Development,8,4,Other,1409,3,Female,3,Laboratory Technician,1,Married,2950,9,No,13,3,0,12,2,5,4,0,4,2,1
144,27,0,Travel_Frequently,Research & Development,2,3,Medical,1648,4,Male,3,Research Scientist,4,Single,2580,2,No,13,3,0,6,0,4,2,1,2,1,1
145,35,0,Travel_Rarely,Sales,3,4,Life Sciences,984,4,Male,3,Sales Executive,4,Divorced,7823,6,No,13,3,1,12,2,10,9,0,8,1,1
146,53,0,Travel_Rarely,Sales,2,2,Medical,981,3,Male,3,Manager,3,Divorced,14852,6,No,13,3,1,22,3,17,13,15,2,4,1
147,32,0,Travel_Rarely,Sales,7,5,Marketing,1446,4,Male,3,Sales Executive,4,Married,9204,4,No,12,3,1,7,3,4,3,0,3,2,1
148,24,1,Travel_Frequently,Research & Development,7,3,Life Sciences,647,1,Female,3,Laboratory Technician,3,Married,2886,1,Yes,16,3,1,6,4,6,3,1,2,5,1
149,27,0,Travel_Rarely,Research & Development,1,2,Medical,497,4,Male,3,Laboratory Technician,2,Divorced,3816,1,No,11,3,1,5,2,5,2,0,4,2,1
150,42,0,Travel_Rarely,Research & Development,24,3,Medical,605,4,Male,3,Manufacturing Director,1,Married,7406,1,Yes,21,4,1,10,5,10,9,5,8,3,1
151,48,0,Travel_Rarely,Sales,2,1,Marketing,712,2,Male,4,Sales Executive,2,Married,8120,3,No,12,3,0,12,3,2,2,2,2,1,1
152,35,0,Travel_Rarely,Sales,1,3,Marketing,600,2,Male,3,Sales Executive,3,Married,4717,9,No,11,3,0,15,2,11,9,6,9,2,1
153,28,0,Travel_Rarely,Sales,5,4,Medical,916,1,Male,3,Sales Executive,4,Single,4908,1,No,14,3,0,4,3,4,2,0,2,3,1
154,35,0,Travel_Frequently,Research & Development,4,4,Other,1185,4,Male,2,Laboratory Technician,4,Married,2376,1,No,13,3,1,2,2,2,2,2,2,5,1
155,36,0,Travel_Frequently,Research & Development,3,3,Technical Degree,1257,3,Male,3,Research Scientist,2,Married,3692,1,No,12,3,0,12,2,11,10,0,7,4,1
156,37,0,Travel_Rarely,Research & Development,1,3,Technical Degree,623,2,Female,3,Manufacturing Director,4,Single,7491,4,No,17,3,0,12,3,6,5,1,2,1,1
157,36,0,Travel_Frequently,Research & Development,18,1,Medical,286,2,Female,3,Laboratory Technician,4,Single,2153,1,No,13,3,0,8,2,8,1,1,7,2,1
158,40,0,Travel_Rarely,Research & Development,8,2,Life Sciences,1724,2,Female,3,Manufacturing Director,1,Married,6516,2,Yes,16,3,1,18,3,1,0,0,0,1,1
159,44,0,Travel_Rarely,Sales,1,5,Marketing,68,2,Female,3,Sales Executive,1,Divorced,5454,5,Yes,21,4,1,9,2,4,3,1,3,1,1
160,27,0,Travel_Rarely,Sales,10,3,Marketing,1403,4,Female,2,Sales Executive,4,Married,5769,1,Yes,11,3,0,6,3,6,2,4,4,1,1
161,28,0,Travel_Rarely,Research & Development,21,3,Medical,221,3,Male,3,Research Scientist,4,Married,2713,1,No,11,3,1,5,2,5,2,0,2,3,1
162,35,0,Travel_Frequently,Sales,18,5,Life Sciences,74,2,Male,3,Sales Executive,1,Married,9069,1,No,22,4,1,9,3,9,8,1,8,2,1
163,20,0,Travel_Rarely,Sales,21,3,Marketing,1226,3,Male,4,Sales Representative,4,Single,2678,1,No,17,3,0,2,2,2,1,2,2,5,1
164,41,0,Travel_Rarely,Sales,2,4,Life Sciences,410,4,Male,3,Manager,2,Single,16015,1,No,19,3,0,22,2,22,10,0,4,5,1
165,47,1,Travel_Frequently,Sales,27,2,Life Sciences,785,2,Female,4,Sales Executive,3,Single,6397,4,Yes,12,3,0,8,2,5,4,1,3,4,1
